plano,capitulo_nome,mecanismo_hipotetico,total_cpos
PQ13,Chapter 51 Move Forward with the Belt and Road Initiative,M3: Governança Global e Projeção Normativa,5
PQ13,Chapter 28 Strengthen Information Security,M1: Securitização Holística e Gestão de Riscos,3
PQ13,Chapter 6 Ensure Innovation in Science and Technology Takes a Leading Role,M2: Autonomia Tecno-Relacional e Modernização,2
PQ13,Chapter 1 The Development Environment,M6: Teleologia Nacional e Fins Estruturais,1
PQ13,Chapter 2 The Guiding Thinking,M6: Teleologia Nacional e Fins Estruturais,1
PQ13,"Chapter 25 Build Ubiquitous, Efficient Information Networks",M1: Securitização Holística e Gestão de Riscos,1
PQ13,Chapter 3 Major Objectives,M6: Teleologia Nacional e Fins Estruturais,1
PQ13,Chapter 37 Implement the Master Strategy for Regional Development,M3: Governança Global e Projeção Normativa,1
PQ13,Chapter 4 The Development Philosophy,M5: Civilização Ecológica e Transição Verde,1
PQ13,Chapter 4 The Development Philosophy,M6: Teleologia Nacional e Fins Estruturais,1
PQ13,Chapter 52 Participate in Global Economic Governance,M3: Governança Global e Projeção Normativa,1
PQ13,Chapter 53 Assume International Responsibilities and Obligations,M1: Securitização Holística e Gestão de Riscos,1
PQ13,"Chapter 54 Support Long-Term Prosperity, Stability, and Development in Hong Kong",M3: Governança Global e Projeção Normativa,1
PQ13,Chapter 59 Modernize Education,M3: Governança Global e Projeção Normativa,1
PQ13,Chapter 67 Strengthen Civic Development,M6: Teleologia Nacional e Fins Estruturais,1
PQ13,Chapter 73 Develop the National Security System,M1: Securitização Holística e Gestão de Riscos,1
PQ13,PART IX,M3: Governança Global e Projeção Normativa,1
PQ13,PART X,M5: Civilização Ecológica e Transição Verde,1
PQ13,PART XI,M3: Governança Global e Projeção Normativa,1
PQ14,Article XVIII Create a beneficial digital ecosystem,M1: Securitização Holística e Gestão de Riscos,12
PQ14,Article IV Strengthen the nation's strategic S&T power,M2: Autonomia Tecno-Relacional e Modernização,8
PQ14,Article XXXIV Raise the level of social civilization (社会文明),M4: Liderança Estratégica e Capacidade Central,3
PQ14,Part Eleven Promote green development and facilitate the harmonious coexistence,M5: Civilização Ecológica e Transição Verde,3
PQ14,Article I Development environment,M6: Teleologia Nacional e Fins Estruturais,2
PQ14,Article III Main goals,M5: Civilização Ecológica e Transição Verde,2
PQ14,Article LI Construct a new pattern of grassroots social governance,M1: Securitização Holística e Gestão de Riscos,2
PQ14,Article LIV Comprehensively improve public safety assurance capabilities,M1: Securitização Holística e Gestão de Riscos,2
PQ14,Article LXIII Strengthen the CCP Central Committee's centralized and,M4: Liderança Estratégica e Capacidade Central,2
PQ14,Article II Guiding directives,M1: Securitização Holística e Gestão de Riscos,1
PQ14,Article II Guiding directives,M3: Governança Global e Projeção Normativa,1
PQ14,Article II Guiding directives,M4: Liderança Estratégica e Capacidade Central,1
PQ14,Article II Guiding directives,M5: Civilização Ecológica e Transição Verde,1
PQ14,Article II Guiding directives,M6: Teleologia Nacional e Fins Estruturais,1
PQ14,Article III Main goals,M6: Teleologia Nacional e Fins Estruturais,1
PQ14,Article LVIII Develop socialist democracy,M6: Teleologia Nacional e Fins Estruturais,1
PQ14,Article LXII Promote the peaceful development of cross-strait relations and,M6: Teleologia Nacional e Fins Estruturais,1
PQ14,Article XIII Promoting domestic-international dual circulation,M3: Governança Global e Projeção Normativa,1
PQ14,Article XIX Stimulate the vitality of various market entities,M2: Autonomia Tecno-Relacional e Modernização,1
PQ14,Article XIX Stimulate the vitality of various market entities,M4: Liderança Estratégica e Capacidade Central,1
PQ14,Article XL Construct a higher-level new open economy system,M3: Governança Global e Projeção Normativa,1
PQ14,Article XLI Promote high-quality “Belt and Road” development,M3: Governança Global e Projeção Normativa,1
PQ14,Article XLIII Construct a high-quality education system,M2: Autonomia Tecno-Relacional e Modernização,1
PQ14,Article XLVIII Optimize the income distribution structure,M6: Teleologia Nacional e Fins Estruturais,1
PQ14,Article XV Build new advantages in the digital economy,M1: Securitização Holística e Gestão de Riscos,1
PQ14,Article XXVIII Continue to improve environmental quality,M5: Civilização Ecológica e Transição Verde,1
PQ14,Article XXXI Implement major regional strategies in an in-depth manner,M2: Autonomia Tecno-Relacional e Modernização,1
PQ14,Article XXXI Implement major regional strategies in an in-depth manner,M5: Civilização Ecológica e Transição Verde,1
PQ14,Article XXXII Implement regional coordinated development strategies in an,M6: Teleologia Nacional e Fins Estruturais,1
PQ14,Article XXXIV Raise the level of social civilization (社会文明),M6: Teleologia Nacional e Fins Estruturais,1
PQ14,Article XXXIX Accelerate the green transformation of the development model,M5: Civilização Ecológica e Transição Verde,1
PQ14,Article XXXVI Improve the modern cultural industry system,M4: Liderança Estratégica e Capacidade Central,1
PQ14,"Part Eighteen Adhere to “One Country, Two Systems” and promote the",M6: Teleologia Nacional e Fins Estruturais,1
PQ14,Part Fourteen Enhance the people's livelihoods and well-being and raise the,M6: Teleologia Nacional e Fins Estruturais,1
PQ14,Part Sixteen Accelerate national defense and armed forces modernization and,M4: Liderança Estratégica e Capacidade Central,1
PQ15,Chapter 8 Advancement in Original Innovation and Key Core Technologies,M2: Autonomia Tecno-Relacional e Modernização,10
PQ15,Chapter 52 Safeguarding of National Economic Security,M1: Securitização Holística e Gestão de Riscos,6
PQ15,Chapter 1 The Development Environment,M4: Liderança Estratégica e Capacidade Central,3
PQ15,Chapter 2 Guiding Principles,M6: Teleologia Nacional e Fins Estruturais,3
PQ15,Chapter 47 Active and Prudent Advancement Towards Carbon Peaking,M5: Civilização Ecológica e Transição Verde,3
PQ15,Chapter 48 Continuous Improvement of Environmental Quality,M5: Civilização Ecológica e Transição Verde,3
PQ15,Chapter 61 Upholding and Strengthening of the Centralized and Unified,M4: Liderança Estratégica e Capacidade Central,3
PQ15,Part Thirteen Accelerated Comprehensive Green Transition,M5: Civilização Ecológica e Transição Verde,3
