plano,periodo,mecanismo_hipotetico,frequencia_cpo,proporcao_pct
PQ13,2016-2020,M1: Securitização Holística e Gestão de Riscos,6,23.08
PQ13,2016-2020,M2: Autonomia Tecno-Relacional e Modernização,2,7.69
PQ13,2016-2020,M3: Governança Global e Projeção Normativa,11,42.31
PQ13,2016-2020,M5: Civilização Ecológica e Transição Verde,2,7.69
PQ13,2016-2020,M6: Teleologia Nacional e Fins Estruturais,5,19.23
PQ14,2021-2025,M1: Securitização Holística e Gestão de Riscos,18,29.03
PQ14,2021-2025,M2: Autonomia Tecno-Relacional e Modernização,11,17.74
PQ14,2021-2025,M3: Governança Global e Projeção Normativa,4,6.45
PQ14,2021-2025,M4: Liderança Estratégica e Capacidade Central,9,14.52
PQ14,2021-2025,M5: Civilização Ecológica e Transição Verde,9,14.52
PQ14,2021-2025,M6: Teleologia Nacional e Fins Estruturais,11,17.74
PQ15,2026-2030,M1: Securitização Holística e Gestão de Riscos,10,14.93
PQ15,2026-2030,M2: Autonomia Tecno-Relacional e Modernização,23,34.33
PQ15,2026-2030,M3: Governança Global e Projeção Normativa,4,5.97
PQ15,2026-2030,M4: Liderança Estratégica e Capacidade Central,11,16.42
PQ15,2026-2030,M5: Civilização Ecológica e Transição Verde,11,16.42
PQ15,2026-2030,M6: Teleologia Nacional e Fins Estruturais,8,11.94
